Date,Close,High,Low,Open,Volume,SMA_20,RSI_14,EMA_10,Buy_Signal,Sell_Signal
2020-01-02,72.79602813720703,72.85662080131382,71.5453946624551,71.79988089307743,135480400,,,,0,0
2020-01-03,72.08829498291016,72.85176099103282,71.86289207131898,72.0204315021118,146322800,,,,0,0
2020-01-06,72.66270446777344,72.7014846521864,70.95399466003437,71.20606216043667,118387200,,,,0,0
2020-01-07,72.32097625732422,72.9293215125039,72.10041809515171,72.67240923493256,108872000,,,,0,0
2020-01-08,73.4843521118164,73.78731540018381,72.02285750459463,72.02285750459463,132079200,,,,0,0
2020-01-09,75.04521942138672,75.2391129669444,74.21388993487531,74.46595006478736,170108400,,,,0,0
2020-01-10,75.21487426757812,75.78202805010778,74.71074661224186,75.2803190714048,140644800,,,,0,0
2020-01-13,76.82177734375,76.84844195389402,75.4136048587464,75.53237147319368,121532000,,,,0,0
2020-01-14,75.78445434570312,76.96965039455488,75.66085034178165,76.758789108947,161954400,,,,0,0
2020-01-15,75.45967102050781,76.46793372841316,75.0258255219773,75.58328240864935,121923600,,,74.1678352355957,0,0
2020-01-16,76.4049301147461,76.51642595207916,75.64146395886965,76.00501997562664,108829200,,,74.5745797590776,0,0
2020-01-17,77.25079345703125,77.253212133664,76.34674834560415,76.65455638252,137816400,,,75.06116406779644,0,0
2020-01-21,76.72726440429688,77.32106795018944,76.58911138390374,76.87753299634672,110843200,,,75.36409140170561,0,0
2020-01-22,77.00115966796875,77.55618313962266,76.90663156263895,77.21443963018976,101832400,,,75.66174017738982,0,0
2020-01-23,77.37198638916016,77.45196545033632,76.50429530744599,77.05448142476102,104472000,,71.90260283757353,75.97269403407533,0,0
2020-01-24,77.14899444580078,78.36569234251847,76.95751957755354,77.61919405852058,146537600,,70.28678934091414,76.18656683620723,0,0
2020-01-27,74.88041687011719,75.56389649627694,73.8939665284428,75.14944474699271,161940000,,56.400692190420024,75.94908502419086,0,0
2020-01-28,76.99871063232422,77.17079167416017,75.66567243400732,75.76504526001489,162234000,,63.62681115515522,76.13992604385147,0,0
2020-01-29,78.61048126220703,79.46120445400042,77.8930663413124,78.63714587501234,216229200,,67.97595201949946,76.5891179017343,0,0
2020-01-30,78.49656677246094,78.54988860150131,77.25563045650009,77.68947591112114,126743200,75.62848281860352,67.36289166299868,76.93592678732097,0,0
2020-01-31,75.01614379882812,78.20816118322392,74.72045130385416,77.78401253695766,199588400,75.73948860168457,51.94761595182077,76.58687533486773,0,0
2020-02-03,74.81011199951172,75.98075876987488,73.24924470798491,73.75337231306008,173788400,75.87557945251464,51.20066329850271,76.26382745571209,0,0
2020-02-04,77.27986907958984,77.47134392906342,76.01469422241806,76.42187506467558,136616400,76.10643768310547,58.8407690771113,76.44856229641714,0,0
2020-02-05,77.91004180908203,78.71228800097798,77.30411523535007,78.41174339074298,118826800,76.38589096069336,60.53842591466657,76.71428584417438,0,0
2020-02-06,78.82133483886719,78.82376091158548,77.62160489685358,78.1814803491059,105425600,76.65274009704589,62.92021339684744,77.09738566139126,0,0
2020-02-07,77.74995422363281,78.568680490216,77.25677448183865,78.31844658012572,117684000,76.7879768371582,58.453294987358596,77.21603449088973,0,0
2020-02-10,78.1192398071289,78.1192398071289,76.2485610979256,76.328729971042,109348800,76.93319511413574,59.52004129072955,77.38025363929685,0,0
2020-02-11,77.64791107177734,78.69015073030005,77.42926131350245,78.61726994891447,94323200,76.97450180053711,57.49109121993562,77.42891862702058,0,0
2020-02-12,79.49188232421875,79.49673857196723,78.09979998299478,78.09979998299478,113730400,77.1598731994629,62.82960344831673,77.80400293560207,0,0
2020-02-13,78.92582702636719,79.2538054479268,78.55655195702208,78.76062560698541,94747600,77.33318099975585,60.32506623291316,78.00797095210481,0,0
2020-02-14,78.94525146484375,79.19548537647773,78.43506373229454,78.89422750170591,80113600,77.46019706726074,60.38342611179901,78.17838559078461,0,0
