Date,Open,High,Low,Close,Volume,SMA_20,RSI_14,EMA_10
2020-01-02,71.79986584309097,72.85660552982391,71.54537966581154,72.79601287841797,135480400.0,,,
2020-01-03,72.02041625768727,72.8517455706424,71.86287686024052,72.0882797241211,146322800.0,,,
2020-01-06,71.20607711333845,72.7014999191191,70.95400956000329,72.6627197265625,118387200.0,,,
2020-01-07,72.67241690140098,72.92932920607493,72.10042570127877,72.32098388671875,108872000.0,,,
2020-01-08,72.02286498225183,73.78732306103302,72.02286498225183,73.48435974121094,132079200.0,,,
2020-01-09,74.46595006478736,75.2391129669444,74.21388993487531,75.04521942138672,170108400.0,,,
2020-01-10,75.2803114353719,75.7820203631842,74.71073903398334,75.2148666381836,140644800.0,,,
2020-01-13,75.53240147855318,76.8484724820647,75.41363481692566,76.82180786132812,121532000.0,,,
2020-01-14,76.758789108947,76.96965039455488,75.66085034178165,75.78445434570312,161954400.0,,,
2020-01-15,75.58327476675701,76.46792599707763,75.02581793644697,75.45966339111328,121923600.0,,,74.1678367614746
2020-01-16,76.00499720724181,76.5164030304954,75.64144129939321,76.4049072265625,108829200.0,,,74.57457684603604
2020-01-17,76.65454881201066,77.25320450403059,76.34674080549438,77.25078582763672,137816400.0,,,75.06116029723616
2020-01-21,76.87754064068325,77.32107563862897,76.589118999561,76.7272720336914,110843200.0,,,75.36408970386438
2020-01-22,77.21444728071641,77.55619082400978,76.9066391826675,77.00116729736328,101832400.0,,,75.66174017540963
2020-01-23,77.05445103241533,77.45193490121231,76.5042651321084,77.37195587158203,104472000.0,,71.9024338228635,75.97268848380462
2020-01-24,77.61919405852058,78.36569234251847,76.95751957755354,77.14899444580078,146537600.0,,70.28684720806238,76.18656229507664
2020-01-27,75.1494217765772,75.56387339917882,73.89394394178072,74.8803939819336,161940000.0,,56.4006396667733,75.94907714723244
2020-01-28,75.76505276717205,77.1707993206053,75.66567993131815,76.99871826171875,162234000.0,,63.626836325702165,76.13992098622995
2020-01-29,78.63716113897716,79.46121987792021,77.89308146084672,78.6104965209961,216229200.0,,67.97597369821123,76.58911653800561
2020-01-30,77.68947591112114,78.54988860150131,77.25563045650009,78.49656677246094,126743200.0,75.62848129272462,67.36283471126377,76.93592567154295
